Results of simulation
Algorithm, NumPrimaryLinks, NumSecondaryLinks, NumLinksSelected, TimeToExecute(ns)
P Algorithm, 30, 100, 34.724, 1385827
C Algorithm, 30, 150, 30.0, 22320
T Algorithm, 30, 150, 38.84, 2982011
M Algorithm, 30, 150, 35.147, 4834828
P Algorithm, 30, 150, 35.043, 2344212
C Algorithm, 30, 200, 30.0, 23861
T Algorithm, 30, 200, 38.974, 4058693
M Algorithm, 30, 200, 35.56, 7991771
P Algorithm, 30, 200, 35.209, 3342430
C Algorithm, 30, 250, 30.0, 28432
T Algorithm, 30, 250, 39.178, 5194268
M Algorithm, 30, 250, 35.881, 11977584
P Algorithm, 30, 250, 35.213, 4325667
C Algorithm, 30, 300, 30.0, 31355
T Algorithm, 30, 300, 39.557, 6446196
M Algorithm, 30, 300, 36.222, 16705250
P Algorithm, 30, 300, 35.357, 5394380
C Algorithm, 30, 350, 30.0, 36474
T Algorithm, 30, 350, 39.505, 7532963
M Algorithm, 30, 350, 36.416, 22326195
P Algorithm, 30, 350, 35.216, 6268306
C Algorithm, 30, 400, 30.0, 38872
T Algorithm, 30, 400, 39.662, 8769212
M Algorithm, 30, 400, 36.529, 28783731
P Algorithm, 30, 400, 35.335, 7389421
C Algorithm, 30, 450, 30.0, 43139
T Algorithm, 30, 450, 39.671, 9929551
M Algorithm, 30, 450, 36.768, 35739899
P Algorithm, 30, 450, 35.419, 8376169
C Algorithm, 30, 500, 30.0, 50900
T Algorithm, 30, 500, 39.657, 11074671
M Algorithm, 30, 500, 36.798, 43500229
P Algorithm, 30, 500, 35.379, 9502337
